,cluster_0,cluster_1,range_pp
alcohol,81.13425925925925,83.2517140058766,2.117454746617341
amphet,23.26388888888889,3.623898139079334,19.639990749809556
amyl,3.935185185185185,0.6856023506366308,3.2495828345485545
benzos,26.96759259259259,6.464250734573946,20.503341858018644
cannabis,70.37037037037037,17.62977473065622,52.740595639714144
choc,94.44444444444444,95.0048971596474,0.5604527152029561
caff,94.67592592592592,92.65426052889325,2.0216653970326774
coke,15.046296296296296,2.840352595494613,12.205943700801683
crack,2.314814814814815,0.0,2.314814814814815
ecstasy,22.22222222222222,4.701273261508325,17.520948960713895
heroin,5.902777777777778,0.1958863858961802,5.706891391881597
ketamine,7.291666666666667,1.5670910871694417,5.724575579497225
legalh,23.61111111111111,3.623898139079334,19.987212972031777
lsd,17.59259259259259,1.3712047012732616,16.22138789131933
meth,16.666666666666664,2.644466209598433,14.022200457068232
mushrooms,16.319444444444446,1.762977473065622,14.556466971378825
nicotine,63.888888888888886,31.635651322233105,32.253237566655784
vsa,3.4722222222222223,0.3917727717923604,3.080449450429862
semer,0.0,0.0979431929480901,0.0979431929480901
