,CL0,CL1,CL2,CL3,CL4,CL5,CL6
alcohol,1.8037135278514589,1.8037135278514589,3.6074270557029178,10.503978779840848,15.225464190981434,40.265251989389924,26.790450928381965
amphet,51.77718832891247,12.20159151193634,12.891246684350133,10.503978779840848,3.978779840848806,3.2360742705570296,5.411140583554377
amyl,69.23076923076923,11.140583554376658,12.572944297082229,4.880636604774536,1.273209549071618,0.7427055702917772,0.15915119363395225
benzos,53.05039787798409,6.153846153846154,12.413793103448276,12.519893899204243,6.36604774535809,4.456233421750663,5.039787798408488
caff,1.4323607427055705,0.5305039787798408,1.273209549071618,3.183023872679045,5.623342175066313,14.482758620689657,73.47480106100795
cannabis,21.909814323607428,10.981432360742707,14.111405835543767,11.193633952254642,7.427055702917771,9.814323607427056,24.56233421750663
choc,1.6976127320954906,0.15915119363395225,0.5305039787798408,2.864721485411141,15.70291777188329,36.23342175066313,42.811671087533156
coke,55.06631299734748,8.488063660477453,14.323607427055704,13.687002652519894,5.251989389920424,2.1750663129973478,1.0079575596816976
crack,86.3129973474801,3.5543766578249336,5.941644562334218,3.129973474801061,0.47745358090185674,0.47745358090185674,0.10610079575596816
ecstasy,54.16445623342175,5.994694960212202,12.413793103448276,14.694960212201591,8.275862068965518,3.3421750663129974,1.1140583554376657
heroin,85.14588859416446,3.6074270557029178,4.986737400530504,3.4482758620689653,1.273209549071618,0.8488063660477453,0.6896551724137931
ketamine,79.04509283819628,2.3872679045092835,7.5331564986737405,6.843501326259947,2.2281167108753315,1.750663129973475,0.21220159151193632
legalh,58.03713527851458,1.5384615384615385,10.503978779840848,17.135278514588858,5.835543766578249,3.395225464190981,3.5543766578249336
lsd,56.71087533156499,13.740053050397877,9.389920424403183,11.352785145888594,5.1458885941644565,2.970822281167109,0.6896551724137931
meth,75.80901856763926,2.0689655172413794,5.1458885941644565,7.904509283819629,2.6525198938992043,2.546419098143236,3.872679045092838
mushrooms,52.09549071618037,11.087533156498672,13.793103448275861,14.588859416445624,6.10079575596817,2.122015915119363,0.21220159151193632
nicotine,22.70557029177719,10.238726790450928,10.822281167108754,9.814323607427056,5.729442970822282,8.328912466843502,32.360742705570296
semer,99.57559681697613,0.10610079575596816,0.15915119363395225,0.10610079575596816,0.05305039787798408,0.0,0.0
vsa,77.18832891246684,10.610079575596817,7.161803713527852,3.2360742705570296,0.6896551724137931,0.7427055702917772,0.3713527851458886
