,0,1
age,-0.5271095534400356,0.446055488905182
gender,-0.420765851526528,0.3560643444847408
education,-0.3687093835857715,0.31201264193742084
country,-0.6764389416051952,0.5724223756580693
ethnicity,0.14008207689460178,-0.11854154205380603
Nscore,0.28759509131968897,-0.2433713603332138
Escore,-0.07882938837305391,0.06670772924027284
Oscore,0.44738192572141033,-0.37858764331371053
Ascore,-0.3430406031279907,0.2902909707175161
Cscore,-0.48990890614402666,0.4145752153853468
impulsive,0.559632859868435,-0.4735776600649636
SS,0.640697252515308,-0.5421767151549717
